授業名,曜日,時間,時期,階数名,館,使用教室,class_num
電子工学概論(RE),1,1,前期,1,6,6101,5
動的システム(d2),1,2,前期,1,6,6101,5
離散数学(RU),1,3,前期,1,6,6101,5
教育学概論,1,5,前期,1,6,6101,5
代数学Ⅲ(u1),2,1,前期,1,6,6101,5
電気回路Ⅰ・演習(RE),2,3,前期,1,6,6101,5
電気回路Ⅰ・演習(RE),2,4,前期,1,6,6101,5
立体図学(RG) (前前期),3,1,前前期,1,6,6101,5
東京電機大学で学ぶ,3,4,前期,1,6,6101,5
物理学Ａ （学系指定なし）,4,1,前期,1,6,6101,5
物理学Ａ （標準）（クラス指定あり）,4,1,前期,1,6,6101,5
物理学Ａ （学系指定なし）,4,2,前期,1,6,6101,5
物理学Ａ （標準）（クラス指定あり）,4,2,前期,1,6,6101,5
倫理学Ａ,4,3,前期,1,6,6101,5
倫理学Ａ,4,4,前期,1,6,6101,5
数学演習Ⅰ(RU),5,2,前期,1,6,6101,5
基礎線形代数学Ａ （RM指定）,5,3,前期,1,6,6101,5
有機化学Ⅰ(RU),5,4,前期,1,6,6101,5
有機化学Ⅰ(RB),5,4,前期,1,6,6101,5
幾何学Ⅰ(RU),1,2,前期,1,6,6102,4
幾何学Ⅱ(u1),1,3,前期,1,6,6102,4
数値解析学(RD),2,4,前期,1,6,6102,4
国際社会と法,3,2,前期,1,6,6102,4
東京電機大学で学ぶ,3,4,前期,1,6,6102,4
物理学Ａ （学系指定なし）,4,1,前期,1,6,6102,4
物理学Ａ （標準）（クラス指定あり）,4,1,前期,1,6,6102,4
物理学Ａ （学系指定なし）,4,2,前期,1,6,6102,4
物理学Ａ （標準）（クラス指定あり）,4,2,前期,1,6,6102,4
機械総合演習Ⅲ(RM),4,3,前期,1,6,6102,4
生徒・進路指導論,4,4,前期,1,6,6102,4
生徒・進路指導論,4,5,前期,1,6,6102,4
生徒・進路指導論,4,5,前期,1,6,6102,4
解析学Ⅰ(RU),5,2,前期,1,6,6102,4
